timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 1 11 0.18658028674903954 0.013419713250960474
1 1 158 0.06732615060658355 0.13267384939341648
1 1 163 0.12869443661495034 0.07130556338504968
1 1 289 0.12483332799250507 0.07516667200749494
1 1 801 0.15064621644750234 0.04935378355249767
1 2 408 0.16291101834343197 0.03708898165656804
1 3 910 0.16915715873438428 0.030842841265615734
1 4 113 0.12920842917685305 0.07079157082314697
1 4 499 0.19600334219386426 0.003996657806135756
1 5 277 0.13835715153501413 0.06164284846498588
1 5 388 0.1264931470622933 0.0735068529377067
1 5 714 0.15195323083725787 0.04804676916274214
1 5 716 0.08941251952918083 0.11058748047081918
1 6 215 0.13248908382126692 0.06751091617873309
1 6 350 0.19691399311770483 0.0030860068822951836
1 6 434 0.030370577373651203 0.1696294226263488
1 6 874 0.12008453036639585 0.07991546963360416
1 7 171 0.15786533787679607 0.042134662123203936
1 8 496 0.11922738417730971 0.0807726158226903
1 8 574 0.04744685471168461 0.1525531452883154
1 8 643 0.1411900248283 0.0588099751717
1 9 303 0.1541866705438898 0.04581332945611022
1 9 835 0.09103406936556524 0.10896593063443477
1 9 999 0.16556875558876666 0.03443124441123335
1 10 598 0.15734581009704246 0.04265418990295755
1 11 289 0.06180708932564793 0.13819291067435208
1 11 332 0.15486051161659029 0.045139488383409726
1 11 396 0.1590337645162333 0.04096623548376671
1 12 176 0.18996922846166853 0.010030771538331484
1 12 427 0.07878307820385702 0.12121692179614299
1 13 65 0.18233061889747756 0.017669381102522447
1 13 79 0.1509536201991872 0.049046379800812806
1 13 756 0.18620109887888595 0.013798901121114066
1 14 370 0.19283391743899275 0.007166082561007259
1 16 373 0.09754592841880776 0.10245407158119225
1 16 418 0.06594283796530298 0.13405716203469703
1 17 696 0.11937372551842941 0.0806262744815706
1 18 498 0.06638135195661989 0.13361864804338014
1 18 537 0.18984062660940842 0.010159373390591586
1 18 610 0.10773218746597928 0.09226781253402074
1 19 99 0.12043280367569999 0.07956719632430002
1 20 146 0.15280007640132678 0.04719992359867323
1 20 291 0.16369959682767635 0.036300403172323664
1 20 633 0.19622958547760633 0.0037704145223936836
1 20 888 0.08751209232232725 0.11248790767767276
1 20 916 0.09064600021643357 0.10935399978356644
1 21 250 0.17225148850434413 0.02774851149565588
1 22 832 0.16968175660617113 0.03031824339382888
1 23 599 0.15908159487378995 0.04091840512621006
1 23 732 0.1473185401793106 0.05268145982068942
1 23 885 0.05489062636677611 0.1451093736332239
1 25 445 0.14470972724500902 0.05529027275499099
